bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
хэтчбек 5 дв.,KIA,чёрный,бензин,2018,5,2018,автоматическая,1.6 LTR,128 N12,1420000
внедорожник 5 дв.,NISSAN,белый,бензин,2017,5,2021,вариатор,2.0 LTR,144 N12,2600000
универсал 5 дв.,VAZ,белый,бензин,2015,5,2017,механическая,1.8 LTR,122 N12,885000
хэтчбек 5 дв.,KIA,коричневый,бензин,2012,5,2014,механическая,1.6 LTR,129 N12,649807
внедорожник 5 дв.,PORSCHE,красный,бензин,2019,5,2020,автоматическая,4.0 LTR,460 N12,11950000
внедорожник 5 дв.,NISSAN,чёрный,дизель,2010,5,2012,автоматическая,2.5 LTR,190 N12,1355000
внедорожник 5 дв.,NISSAN,белый,бензин,2013,5,2014,вариатор,2.0 LTR,144 N12,1145000
седан,HYUNDAI,серый,бензин,2010,4,2013,механическая,1.6 LTR,123 N12,613000
седан,NISSAN,белый,бензин,2000,4,2001,автоматическая,1.5 LTR,105 N12,225000
внедорожник 5 дв.,MERCEDES,чёрный,бензин,1990,5,2002,автоматическая,5.0 LTR,296 N12,2700000
седан,HYUNDAI,серый,бензин,2020,4,2021,автоматическая,1.6 LTR,128 N12,1800000
внедорожник 5 дв.,NISSAN,чёрный,бензин,2013,5,2014,вариатор,2.0 LTR,144 N12,1349877
седан,NISSAN,синий,бензин,2012,4,2018,механическая,1.6 LTR,102 N12,539000
седан,VAZ,чёрный,бензин,1997,4,2005,механическая,1.5 LTR,78 N12,160000
хэтчбек 5 дв.,PORSCHE,оранжевый,бензин,2016,5,2019,роботизированная,2.9 LTR,440 N12,9490000
седан,DODGE,чёрный,бензин,2010,4,2012,автоматическая,6.4 LTR,477 N12,2999000
внедорожник 5 дв.,MERCEDES,чёрный,дизель,2015,5,2017,автоматическая,3.0 LTR,249 N12,4750000
внедорожник 5 дв.,LAND_ROVER,синий,дизель,2009,5,2011,автоматическая,3.0 LTR,245 N12,1450000
минивэн,VOLKSWAGEN,синий,дизель,2009,4,2010,роботизированная,2.0 LTR,140 N12,1770000
седан,GENESIS,белый,бензин,2017,4,2019,автоматическая,2.0 LTR,197 N12,2719000
внедорожник 5 дв.,FORD,чёрный,бензин,2010,5,2014,автоматическая,3.5 LTR,249 N12,1725000
внедорожник 5 дв.,MAZDA,белый,бензин,2009,5,2011,автоматическая,2.5 LTR,163 N12,845000
седан,KIA,синий,бензин,2017,4,2018,автоматическая,1.6 LTR,123 N12,959500
внедорожник 5 дв.,KIA,серый,бензин,2018,5,2019,механическая,2.0 LTR,150 N12,1850000
седан,BMW,синий,бензин,2015,4,2016,автоматическая,2.0 LTR,184 N12,1949579
седан,BMW,синий,дизель,2020,4,2020,автоматическая,2.0 LTR,190 N12,4087000
минивэн,MERCEDES,чёрный,дизель,2014,5,2021,автоматическая,2.1 LTR,190 N12,10350000
внедорожник 5 дв.,VOLVO,белый,дизель,2017,5,2018,автоматическая,2.0 LTR,150 N12,3155000
внедорожник 5 дв.,TOYOTA,чёрный,гибрид,2016,5,2017,автоматическая,1.8 LTR,98 N12,2079000
внедорожник 5 дв.,HYUNDAI,серебристый,бензин,2021,5,2021,автоматическая,1.6 LTR,123 N12,1375000
внедорожник 5 дв.,PORSCHE,чёрный,бензин,2017,5,2021,автоматическая,4.0 LTR,460 N12,13000000
седан,TOYOTA,синий,бензин,2017,4,2020,автоматическая,2.5 LTR,181 N12,2550000
седан,FORD,жёлтый,бензин,2014,4,2018,автоматическая,2.5 LTR,149 N12,1457000
внедорожник 5 дв.,PORSCHE,белый,бензин,2017,5,2020,автоматическая,3.0 LTR,340 N12,7235000
хэтчбек 5 дв.,KIA,синий,бензин,2017,5,2020,автоматическая,1.6 LTR,123 N12,1393000
седан,TOYOTA,чёрный,бензин,2017,4,2017,автоматическая,2.5 LTR,181 N12,1755000
внедорожник 5 дв.,CHEVROLET,зелёный,бензин,2009,5,2018,механическая,1.7 LTR,80 N12,698000
внедорожник 5 дв.,NISSAN,синий,бензин,2013,5,2014,вариатор,2.0 LTR,144 N12,1399857
компактвэн,FORD,белый,бензин,2007,5,2009,механическая,1.6 LTR,100 N12,675000
седан,VAZ,белый,бензин,2015,4,2018,механическая,1.6 LTR,106 N12,817000
внедорожник 5 дв.,MERCEDES,чёрный,бензин,2012,5,2014,автоматическая,3.0 LTR,333 N12,2445000
внедорожник 5 дв.,MITSUBISHI,коричневый,бензин,2009,5,2012,вариатор,2.4 LTR,170 N12,1080000
внедорожник 5 дв.,MERCEDES,коричневый,дизель,2015,5,2015,автоматическая,2.1 LTR,170 N12,2629807
хэтчбек 5 дв.,SUZUKI,чёрный,бензин,2012,5,2014,автоматическая,1.2 LTR,94 N12,679854
седан,MERCEDES,чёрный,дизель,2010,4,2013,автоматическая,3.0 LTR,265 N12,1800000
хэтчбек 3 дв.,MINI,зелёный,бензин,2010,3,2013,автоматическая,1.6 LTR,122 N12,1079847
внедорожник 5 дв.,RENAULT,серый,бензин,2019,5,2021,вариатор,1.3 LTR,150 N12,1730000
седан,KIA,белый,бензин,2018,4,2019,автоматическая,2.0 LTR,150 N12,1519000
лифтбек,SKODA,белый,бензин,2020,5,2021,автоматическая,1.6 LTR,110 N12,1469000
лифтбек,AUDI,белый,бензин,2014,5,2014,роботизированная,3.0 LTR,333 N12,1995000
внедорожник 5 дв.,RENAULT,белый,бензин,2015,5,2016,механическая,1.6 LTR,114 N12,950000
минивэн,VOLKSWAGEN,белый,дизель,2015,4,2017,роботизированная,2.0 LTR,140 N12,3070000
лифтбек,VOLKSWAGEN,серебристый,бензин,2020,5,2020,роботизированная,1.4 LTR,125 N12,1600000
седан,CHEVROLET,чёрный,бензин,2012,4,2013,автоматическая,1.8 LTR,141 N12,600000
седан,RENAULT,белый,бензин,2012,4,2013,механическая,1.6 LTR,106 N12,784500
внедорожник 5 дв.,MERCEDES,чёрный,бензин,2013,5,2016,роботизированная,2.0 LTR,211 N12,1799000
внедорожник 5 дв.,MITSUBISHI,белый,бензин,2014,5,2014,автоматическая,3.0 LTR,178 N12,1950000
седан,KIA,белый,бензин,2016,4,2017,автоматическая,1.6 LTR,130 N12,1175000
седан,DATSUN,коричневый,бензин,2014,4,2017,механическая,1.6 LTR,87 N12,524000
внедорожник 5 дв.,NISSAN,серый,дизель,2007,5,2011,автоматическая,2.0 LTR,150 N12,849000
седан,TOYOTA,чёрный,бензин,2020,4,2021,автоматическая,2.5 LTR,200 N12,3249000
хэтчбек 5 дв.,RENAULT,серый,дизель,2008,5,2009,механическая,1.5 LTR,86 N12,565000
седан,MERCEDES,чёрный,бензин,2009,4,2010,автоматическая,3.5 LTR,272 N12,1050000
седан,RENAULT,бежевый,бензин,2018,4,2020,механическая,1.6 LTR,113 N12,1100000
внедорожник 5 дв.,BMW,зелёный,бензин,2019,5,2020,автоматическая,4.4 LTR,625 N12,11990000
внедорожник 5 дв.,TOYOTA,чёрный,дизель,2015,5,2018,автоматическая,2.2 LTR,150 N12,2439000
внедорожник 5 дв.,KIA,чёрный,дизель,2017,5,2018,автоматическая,2.2 LTR,200 N12,2720000
